id,type,genre,notable,release_date,notoriety_date,written_date,single,release_year,notoriety_year
0,Song,Oceanus Folk,True,2017,,,True,2017,
5,Song,Lo-Fi Electronica,True,2026,,,False,2026,
10,Song,Indie Folk,True,2020,,2020,True,2020,
15,Song,Darkwave,False,2027,,,True,2027,
26,Song,Speed Metal,True,2022,,,False,2022,
35,Album,Blues Rock,True,2007,,,,2007,
39,Song,Indie Folk,True,2010,,,True,2010,
42,Song,Synthwave,True,2020,,,True,2020,
48,Song,Indie Folk,True,2017,,,False,2017,
54,Song,Alternative Rock,True,2003,,2003,True,2003,
60,Song,Americana,True,2023,,,True,2023,
71,Album,Indie Folk,True,2017,,,,2017,
81,Song,Indie Pop,True,1997,,,True,1997,
86,Song,Americana,True,2013,,2013,True,2013,
92,Song,Americana,True,2023,2023,,True,2023,2023.0
102,Song,Doom Metal,True,2000,,2000,True,2000,
106,Song,Blues Rock,True,2020,,,True,2020,
112,Song,Lo-Fi Electronica,True,2007,,,True,2007,
121,Song,Indie Folk,True,2025,,2025,True,2025,
128,Song,Indie Rock,True,2026,,2026,True,2026,
139,Song,Speed Metal,True,2023,2023,,True,2023,2023.0
144,Song,Indie Folk,True,2020,,,True,2020,
148,Song,Speed Metal,True,2010,,2010,True,2010,
155,Album,Indie Folk,True,2010,2010,,,2010,2010.0
169,Album,Avant-Garde Folk,True,2026,,,,2026,
176,Song,Darkwave,True,2023,,,True,2023,
182,Song,Synthpop,True,2013,,2013,True,2013,
187,Song,Indie Folk,True,2020,,,True,2020,
192,Song,Americana,True,2013,,,True,2013,
196,Song,Indie Folk,True,2017,,,True,2017,
200,Song,Indie Folk,True,2017,,,True,2017,
210,Song,Darkwave,True,2029,2029,,True,2029,2029.0
216,Song,Alternative Rock,True,2029,,,True,2029,
219,Song,Dream Pop,True,1997,,,True,1997,
225,Song,Doom Metal,True,2013,,,True,2013,
233,Song,Doom Metal,False,2013,,,True,2013,
239,Album,Dream Pop,True,2015,,2015,,2015,
249,Song,Emo/Pop Punk,True,2010,,,True,2010,
258,Song,Dream Pop,True,2029,,2029,True,2029,
264,Album,Dream Pop,True,2018,,,,2018,
272,Song,Desert Rock,True,2017,,2017,True,2017,
279,Album,Alternative Rock,True,2026,2026,,,2026,2026.0
283,Song,Dream Pop,True,2029,2029,,True,2029,2029.0
292,Song,Dream Pop,True,2016,,2016,True,2016,
298,Song,Indie Folk,True,2013,,,True,2013,
308,Song,Dream Pop,True,2014,,2014,True,2014,
312,Album,Synthwave,True,2007,,,,2007,
321,Song,Space Rock,True,2025,,2019,False,2025,
329,Song,Blues Rock,True,2025,,,True,2025,
339,Album,Southern Gothic Rock,True,2027,2027,2027,,2027,2027.0
344,Album,Indie Rock,True,2013,,2013,,2013,
349,Song,Americana,True,2028,,2028,True,2028,
358,Song,Post-Apocalyptic Folk,True,2027,2027,,False,2027,2027.0
365,Song,Indie Rock,True,2021,,2021,True,2021,
371,Song,Synthwave,True,2017,,,True,2017,
376,Song,Dream Pop,True,2030,,,False,2030,
382,Song,Dream Pop,True,2027,,2027,True,2027,
391,Song,Dream Pop,True,2030,,,True,2030,
395,Song,Post-Apocalyptic Folk,True,2022,,,True,2022,
402,Song,Synthwave,True,2011,,,True,2011,
407,Song,Doom Metal,True,2017,,2017,True,2017,
413,Song,Indie Pop,True,2013,,2013,True,2013,
419,Song,Doom Metal,True,1994,,,True,1994,
423,Song,Southern Gothic Rock,True,2000,,,True,2000,
431,Album,Americana,True,2000,,,,2000,
438,Song,Dream Pop,True,2010,2010,,True,2010,2010.0
445,Album,Psychedelic Rock,True,2017,,2017,,2017,
449,Song,Southern Gothic Rock,True,2004,,,True,2004,
454,Song,Synthwave,True,1998,,1998,True,1998,
461,Song,Americana,True,2027,,,True,2027,
467,Song,Post-Apocalyptic Folk,True,2020,,,True,2020,
473,Album,Synthwave,True,2027,2027,,,2027,2027.0
478,Song,Speed Metal,True,2018,,,True,2018,
482,Album,Dream Pop,True,2004,,2004,,2004,
485,Song,Southern Gothic Rock,True,1998,,,True,1998,
491,Song,Dream Pop,True,2029,,2029,True,2029,
497,Song,Indie Folk,True,2000,,,True,2000,
504,Song,Dream Pop,True,2028,,2028,True,2028,
510,Album,Alternative Rock,True,2028,,,,2028,
516,Song,Doom Metal,True,2023,,2023,True,2023,
520,Song,Synthwave,True,1991,,,True,1991,
525,Song,Doom Metal,True,2007,,2007,True,2007,
533,Album,Dream Pop,True,2023,,2020,,2023,
543,Song,Doom Metal,True,2020,,,True,2020,
550,Song,Southern Gothic Rock,True,1999,,,True,1999,
553,Song,Oceanus Folk,True,2013,,,True,2013,
558,Song,Alternative Rock,True,2027,,,True,2027,
563,Song,Synthwave,True,2026,,2026,True,2026,
569,Song,Dream Pop,True,2025,,2022,True,2025,
577,Album,Space Rock,True,2027,,2027,,2027,
581,Song,Dream Pop,True,1997,,,True,1997,
585,Song,Post-Apocalyptic Folk,True,2024,,,True,2024,
590,Song,Dream Pop,True,2029,,2029,False,2029,
597,Album,Jazz Surf Rock,True,2025,,2025,,2025,
600,Song,Dream Pop,True,2028,,2028,True,2028,
611,Song,Indie Folk,True,2014,,2014,False,2014,
621,Song,Doom Metal,False,2023,,,True,2023,
625,Song,Indie Folk,True,2023,,,True,2023,
632,Song,Alternative Rock,True,2012,,,True,2012,
